Name,Type 1,Type 2,HP,Attack,Defense,Speed
Muk,Poison,,105,105,75,50
Shellder,Water,,30,65,100,40
Cloyster,Water,Ice,50,95,180,70
Gastly,Ghost,Poison,30,35,30,80
Haunter,Ghost,Poison,45,50,45,95
Gengar,Ghost,Poison,60,65,60,110
GengarMega Gengar,Ghost,Poison,60,65,80,130
Onix,Rock,Ground,35,45,160,70
Drowzee,Psychic,,60,48,45,42
Hypno,Psychic,,85,73,70,67
Krabby,Water,,30,105,90,50
Kingler,Water,,55,130,115,75
Voltorb,Electric,,40,30,50,100
Electrode,Electric,,60,50,70,140
Exeggcute,Grass,Psychic,60,40,80,40
Exeggutor,Grass,Psychic,95,95,85,55
Cubone,Ground,,50,50,95,35
Marowak,Ground,,60,80,110,45
Hitmonlee,Fighting,,50,120,53,87
Hitmonchan,Fighting,,50,105,79,76
Lickitung,Normal,,90,55,75,30
Koffing,Poison,,40,65,95,35
Weezing,Poison,,65,90,120,60
Rhyhorn,Ground,Rock,80,85,95,25
Rhydon,Ground,Rock,105,130,120,40
Chansey,Normal,,250,5,5,50
Tangela,Grass,,65,55,115,60
Kangaskhan,Normal,,105,95,80,90
KangaskhanMega Kangaskhan,Normal,,105,125,100,100
Horsea,Water,,30,40,70,60
Seadra,Water,,55,65,95,85
Goldeen,Water,,45,67,60,63
Seaking,Water,,80,92,65,68
Staryu,Water,,30,45,55,85
Starmie,Water,Psychic,60,75,85,115
Mr. Mime,Psychic,Fairy,40,45,65,90
Scyther,Bug,Flying,70,110,80,105
Jynx,Ice,Psychic,65,50,35,95
Electabuzz,Electric,,65,83,57,105
Magmar,Fire,,65,95,57,93
Pinsir,Bug,,65,125,100,85
PinsirMega Pinsir,Bug,Flying,65,155,120,105
Tauros,Normal,,75,100,95,110
Magikarp,Water,,20,10,55,80
Gyarados,Water,Flying,95,125,79,81
GyaradosMega Gyarados,Water,Dark,95,155,109,81
Lapras,Water,Ice,130,85,80,60
Ditto,Normal,,48,48,48,48
Eevee,Normal,,55,55,50,55
Vaporeon,Water,,130,65,60,65
Jolteon,Electric,,65,65,60,130
Flareon,Fire,,65,130,60,65
Porygon,Normal,,65,60,70,40
Omanyte,Rock,Water,35,40,100,35
Omastar,Rock,Water,70,60,125,55
Kabuto,Rock,Water,30,80,90,55
Kabutops,Rock,Water,60,115,105,80
Aerodactyl,Rock,Flying,80,105,65,130
AerodactylMega Aerodactyl,Rock,Flying,80,135,85,150
Snorlax,Normal,,160,110,65,30
Articuno,Ice,Flying,90,85,100,85
Zapdos,Electric,Flying,90,90,85,100
Moltres,Fire,Flying,90,100,90,90
Dratini,Dragon,,41,64,45,50
Dragonair,Dragon,,61,84,65,70
Dragonite,Dragon,Flying,91,134,95,80
Mewtwo,Psychic,,106,110,90,130
MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,130
MewtwoMega Mewtwo Y,Psychic,,106,150,70,140
Mew,Psychic,,100,100,100,100
Chikorita,Grass,,45,49,65,45
Bayleef,Grass,,60,62,80,60
Meganium,Grass,,80,82,100,80
Cyndaquil,Fire,,39,52,43,65
Quilava,Fire,,58,64,58,80
Typhlosion,Fire,,78,84,78,100
Totodile,Water,,50,65,64,43
Croconaw,Water,,65,80,80,58
Feraligatr,Water,,85,105,100,78
Sentret,Normal,,35,46,34,20
Furret,Normal,,85,76,64,90
Hoothoot,Normal,Flying,60,30,30,50
Noctowl,Normal,Flying,100,50,50,70
Ledyba,Bug,Flying,40,20,30,55
Ledian,Bug,Flying,55,35,50,85
Spinarak,Bug,Poison,40,60,40,30
Ariados,Bug,Poison,70,90,70,40
Crobat,Poison,Flying,85,90,80,130
Chinchou,Water,Electric,75,38,38,67
Lanturn,Water,Electric,125,58,58,67
Pichu,Electric,,20,40,15,60
Cleffa,Fairy,,50,25,28,15
Igglybuff,Normal,Fairy,90,30,15,15
Togepi,Fairy,,35,20,65,20
Togetic,Fairy,Flying,55,40,85,40
Natu,Psychic,Flying,40,50,45,70
Xatu,Psychic,Flying,65,75,70,95
Mareep,Electric,,55,40,40,35
Flaaffy,Electric,,70,55,55,45
Ampharos,Electric,,90,75,85,55
AmpharosMega Ampharos,Electric,Dragon,90,95,105,45
Bellossom,Grass,,75,80,95,50
Marill,Water,Fairy,70,20,50,40
Azumarill,Water,Fairy,100,50,80,50
Sudowoodo,Rock,,70,100,115,30
Politoed,Water,,90,75,75,70
Hoppip,Grass,Flying,35,35,40,50
Skiploom,Grass,Flying,55,45,50,80
Jumpluff,Grass,Flying,75,55,70,110
Aipom,Normal,,55,70,55,85
Sunkern,Grass,,30,30,30,30
Sunflora,Grass,,75,75,55,30
Yanma,Bug,Flying,65,65,45,95
Wooper,Water,Ground,55,45,45,15
Quagsire,Water,Ground,95,85,85,35
Espeon,Psychic,,65,65,60,110
Umbreon,Dark,,95,65,110,65
Murkrow,Dark,Flying,60,85,42,91
Slowking,Water,Psychic,95,75,80,30
Misdreavus,Ghost,,60,60,60,85
Unown,Psychic,,48,72,48,48
Wobbuffet,Psychic,,190,33,58,33
Girafarig,Normal,Psychic,70,80,65,85
Pineco,Bug,,50,65,90,15
Forretress,Bug,Steel,75,90,140,40
Dunsparce,Normal,,100,70,70,45
Gligar,Ground,Flying,65,75,105,85
Steelix,Steel,Ground,75,85,200,30
SteelixMega Steelix,Steel,Ground,75,125,230,30
Snubbull,Fairy,,60,80,50,30
Granbull,Fairy,,90,120,75,45
Qwilfish,Water,Poison,65,95,75,85
Scizor,Bug,Steel,70,130,100,65
ScizorMega Scizor,Bug,Steel,70,150,140,75
Shuckle,Bug,Rock,20,10,230,5
Heracross,Bug,Fighting,80,125,75,85
HeracrossMega Heracross,Bug,Fighting,80,185,115,75
Sneasel,Dark,Ice,55,95,55,115
Teddiursa,Normal,,60,80,50,40
Ursaring,Normal,,90,130,75,55
Slugma,Fire,,40,40,40,20
Magcargo,Fire,Rock,50,50,120,30
Swinub,Ice,Ground,50,50,40,50
Piloswine,Ice,Ground,100,100,80,50
Corsola,Water,Rock,55,55,85,35
Remoraid,Water,,35,65,35,65
Octillery,Water,,75,105,75,45
Delibird,Ice,Flying,45,55,45,75
Mantine,Water,Flying,65,40,70,70
Skarmory,Steel,Flying,65,80,140,70
Houndour,Dark,Fire,45,60,30,65
Houndoom,Dark,Fire,75,90,50,95
HoundoomMega Houndoom,Dark,Fire,75,90,90,115
Kingdra,Water,Dragon,75,95,95,85
Phanpy,Ground,,90,60,60,40
Donphan,Ground,,90,120,120,50
Porygon2,Normal,,85,80,90,60
Stantler,Normal,,73,95,62,85
Smeargle,Normal,,55,20,35,75
Tyrogue,Fighting,,35,35,35,35
Hitmontop,Fighting,,50,95,95,70
Smoochum,Ice,Psychic,45,30,15,65
Elekid,Electric,,45,63,37,95
Magby,Fire,,45,75,37,83
Miltank,Normal,,95,80,105,100
Blissey,Normal,,255,10,10,55
Raikou,Electric,,90,85,75,115
Entei,Fire,,115,115,85,100
Suicune,Water,,100,75,115,85
Larvitar,Rock,Ground,50,64,50,41
Pupitar,Rock,Ground,70,84,70,51
Tyranitar,Rock,Dark,100,134,110,61
TyranitarMega Tyranitar,Rock,Dark,100,164,150,71
Lugia,Psychic,Flying,106,90,130,110
Ho-oh,Fire,Flying,106,130,90,90
Celebi,Psychic,Grass,100,100,100,100
Treecko,Grass,,40,45,35,70
Grovyle,Grass,,50,65,45,95
Sceptile,Grass,,70,85,65,120
SceptileMega Sceptile,Grass,Dragon,70,110,75,145
Torchic,Fire,,45,60,40,45
Combusken,Fire,Fighting,60,85,60,55
Blaziken,Fire,Fighting,80,120,70,80
BlazikenMega Blaziken,Fire,Fighting,80,160,80,100
Mudkip,Water,,50,70,50,40
Marshtomp,Water,Ground,70,85,70,50
Swampert,Water,Ground,100,110,90,60
SwampertMega Swampert,Water,Ground,100,150,110,70
Poochyena,Dark,,35,55,35,35
Mightyena,Dark,,70,90,70,70
Zigzagoon,Normal,,38,30,41,60
Linoone,Normal,,78,70,61,100
Wurmple,Bug,,45,45,35,20
Silcoon,Bug,,50,35,55,15
Beautifly,Bug,Flying,60,70,50,65
Cascoon,Bug,,50,35,55,15
Dustox,Bug,Poison,60,50,70,65
Lotad,Water,Grass,40,30,30,30
Lombre,Water,Grass,60,50,50,50
Ludicolo,Water,Grass,80,70,70,70
Seedot,Grass,,40,40,50,30
Nuzleaf,Grass,Dark,70,70,40,60
Shiftry,Grass,Dark,90,100,60,80
Taillow,Normal,Flying,40,55,30,85
Swellow,Normal,Flying,60,85,60,125
Wingull,Water,Flying,40,30,30,85
Pelipper,Water,Flying,60,50,100,65
Ralts,Psychic,Fairy,28,25,25,40
Kirlia,Psychic,Fairy,38,35,35,50
Gardevoir,Psychic,Fairy,68,65,65,80
GardevoirMega Gardevoir,Psychic,Fairy,68,85,65,100
Surskit,Bug,Water,40,30,32,65
Masquerain,Bug,Flying,70,60,62,60
Shroomish,Grass,,60,40,60,35
Breloom,Grass,Fighting,60,130,80,70
Slakoth,Normal,,60,60,60,30
Vigoroth,Normal,,80,80,80,90
Slaking,Normal,,150,160,100,100
Nincada,Bug,Ground,31,45,90,40
Ninjask,Bug,Flying,61,90,45,160
Shedinja,Bug,Ghost,1,90,45,40
Whismur,Normal,,64,51,23,28
Loudred,Normal,,84,71,43,48
Exploud,Normal,,104,91,63,68
Makuhita,Fighting,,72,60,30,25
Hariyama,Fighting,,144,120,60,50
Azurill,Normal,Fairy,50,20,40,20
Nosepass,Rock,,30,45,135,30
Skitty,Normal,,50,45,45,50
Delcatty,Normal,,70,65,65,70
Sableye,Dark,Ghost,50,75,75,50
SableyeMega Sableye,Dark,Ghost,50,85,125,20
Mawile,Steel,Fairy,50,85,85,50
MawileMega Mawile,Steel,Fairy,50,105,125,50
Aron,Steel,Rock,50,70,100,30
Lairon,Steel,Rock,60,90,140,40
Aggron,Steel,Rock,70,110,180,50
AggronMega Aggron,Steel,,70,140,230,50
Meditite,Fighting,Psychic,30,40,55,60
Medicham,Fighting,Psychic,60,60,75,80
MedichamMega Medicham,Fighting,Psychic,60,100,85,100
Electrike,Electric,,40,45,40,65
Manectric,Electric,,70,75,60,105
ManectricMega Manectric,Electric,,70,75,80,135
Plusle,Electric,,60,50,40,95
Minun,Electric,,60,40,50,95
Volbeat,Bug,,65,73,55,85
Illumise,Bug,,65,47,55,85
Roselia,Grass,Poison,50,60,45,65
Gulpin,Poison,,70,43,53,40
Swalot,Poison,,100,73,83,55
Carvanha,Water,Dark,45,90,20,65
Sharpedo,Water,Dark,70,120,40,95
SharpedoMega Sharpedo,Water,Dark,70,140,70,105
Wailmer,Water,,130,70,35,60
Wailord,Water,,170,90,45,60
Numel,Fire,Ground,60,60,40,35
Camerupt,Fire,Ground,70,100,70,40
CameruptMega Camerupt,Fire,Ground,70,120,100,20
Torkoal,Fire,,70,85,140,20
Spoink,Psychic,,60,25,35,60
Grumpig,Psychic,,80,45,65,80
Spinda,Normal,,60,60,60,60
Trapinch,Ground,,45,100,45,10
Vibrava,Ground,Dragon,50,70,50,70
Flygon,Ground,Dragon,80,100,80,100
Cacnea,Grass,,50,85,40,35
Cacturne,Grass,Dark,70,115,60,55
Swablu,Normal,Flying,45,40,60,50
Altaria,Dragon,Flying,75,70,90,80
AltariaMega Altaria,Dragon,Fairy,75,110,110,80
Zangoose,Normal,,73,115,60,90
Seviper,Poison,,73,100,60,65
Lunatone,Rock,Psychic,70,55,65,70
Solrock,Rock,Psychic,70,95,85,70
Barboach,Water,Ground,50,48,43,60
Whiscash,Water,Ground,110,78,73,60
Corphish,Water,,43,80,65,35
Crawdaunt,Water,Dark,63,120,85,55
Baltoy,Ground,Psychic,40,40,55,55
Claydol,Ground,Psychic,60,70,105,75
Lileep,Rock,Grass,66,41,77,23
Cradily,Rock,Grass,86,81,97,43
Anorith,Rock,Bug,45,95,50,75
Armaldo,Rock,Bug,75,125,100,45
Feebas,Water,,20,15,20,80
Milotic,Water,,95,60,79,81
Castform,Normal,,70,70,70,70
Kecleon,Normal,,60,90,70,40
Shuppet,Ghost,,44,75,35,45
Banette,Ghost,,64,115,65,65
BanetteMega Banette,Ghost,,64,165,75,75
Duskull,Ghost,,20,40,90,25
Dusclops,Ghost,,40,70,130,25
Tropius,Grass,Flying,99,68,83,51
Chimecho,Psychic,,65,50,70,65
Absol,Dark,,65,130,60,75
AbsolMega Absol,Dark,,65,150,60,115
Wynaut,Psychic,,95,23,48,23
Snorunt,Ice,,50,50,50,50
Glalie,Ice,,80,80,80,80
GlalieMega Glalie,Ice,,80,120,80,100
Spheal,Ice,Water,70,40,50,25
Sealeo,Ice,Water,90,60,70,45
Walrein,Ice,Water,110,80,90,65
Clamperl,Water,,35,64,85,32
Huntail,Water,,55,104,105,52
Gorebyss,Water,,55,84,105,52
Relicanth,Water,Rock,100,90,130,55
Luvdisc,Water,,43,30,55,97
Bagon,Dragon,,45,75,60,50
Shelgon,Dragon,,65,95,100,50
Salamence,Dragon,Flying,95,135,80,100
SalamenceMega Salamence,Dragon,Flying,95,145,130,120
Beldum,Steel,Psychic,40,55,80,30
Metang,Steel,Psychic,60,75,100,50
Metagross,Steel,Psychic,80,135,130,70
MetagrossMega Metagross,Steel,Psychic,80,145,150,110
Regirock,Rock,,80,100,200,50
Regice,Ice,,80,50,100,50
Registeel,Steel,,80,75,150,50
Latias,Dragon,Psychic,80,80,90,110
LatiasMega Latias,Dragon,Psychic,80,100,120,110
Latios,Dragon,Psychic,80,90,80,110
LatiosMega Latios,Dragon,Psychic,80,130,100,110
Kyogre,Water,,100,100,90,90
KyogrePrimal Kyogre,Water,,100,150,90,90
Groudon,Ground,,100,150,140,90
GroudonPrimal Groudon,Ground,Fire,100,180,160,90
Rayquaza,Dragon,Flying,105,150,90,95
RayquazaMega Rayquaza,Dragon,Flying,105,180,100,115
Jirachi,Steel,Psychic,100,100,100,100
DeoxysNormal Forme,Psychic,,50,150,50,150
DeoxysAttack Forme,Psychic,,50,180,20,150
DeoxysDefense Forme,Psychic,,50,70,160,90
DeoxysSpeed Forme,Psychic,,50,95,90,180
Turtwig,Grass,,55,68,64,31
Grotle,Grass,,75,89,85,36
Torterra,Grass,Ground,95,109,105,56
Chimchar,Fire,,44,58,44,61
Monferno,Fire,Fighting,64,78,52,81
Infernape,Fire,Fighting,76,104,71,108
Piplup,Water,,53,51,53,40
Prinplup,Water,,64,66,68,50
Empoleon,Water,Steel,84,86,88,60
Starly,Normal,Flying,40,55,30,60
Staravia,Normal,Flying,55,75,50,80
Staraptor,Normal,Flying,85,120,70,100
Bidoof,Normal,,59,45,40,31
Bibarel,Normal,Water,79,85,60,71
Kricketot,Bug,,37,25,41,25
Kricketune,Bug,,77,85,51,65
Shinx,Electric,,45,65,34,45
Luxio,Electric,,60,85,49,60
Luxray,Electric,,80,120,79,70
Budew,Grass,Poison,40,30,35,55
Roserade,Grass,Poison,60,70,65,90
Cranidos,Rock,,67,125,40,58
Rampardos,Rock,,97,165,60,58
Shieldon,Rock,Steel,30,42,118,30
Bastiodon,Rock,Steel,60,52,168,30
Burmy,Bug,,40,29,45,36
WormadamPlant Cloak,Bug,Grass,60,59,85,36
WormadamSandy Cloak,Bug,Ground,60,79,105,36
WormadamTrash Cloak,Bug,Steel,60,69,95,36
Mothim,Bug,Flying,70,94,50,66
Combee,Bug,Flying,30,30,42,70
Vespiquen,Bug,Flying,70,80,102,40
Pachirisu,Electric,,60,45,70,95
Buizel,Water,,55,65,35,85
Floatzel,Water,,85,105,55,115
Cherubi,Grass,,45,35,45,35
Cherrim,Grass,,70,60,70,85
Shellos,Water,,76,48,48,34
Gastrodon,Water,Ground,111,83,68,39
Ambipom,Normal,,75,100,66,115
Drifloon,Ghost,Flying,90,50,34,70
Drifblim,Ghost,Flying,150,80,44,80
Buneary,Normal,,55,66,44,85
Lopunny,Normal,,65,76,84,105
LopunnyMega Lopunny,Normal,Fighting,65,136,94,135
Mismagius,Ghost,,60,60,60,105
Honchkrow,Dark,Flying,100,125,52,71
Glameow,Normal,,49,55,42,85
Purugly,Normal,,71,82,64,112
Chingling,Psychic,,45,30,50,45
Stunky,Poison,Dark,63,63,47,74
Skuntank,Poison,Dark,103,93,67,84
Bronzor,Steel,Psychic,57,24,86,23
Bronzong,Steel,Psychic,67,89,116,33
Bonsly,Rock,,50,80,95,10
Mime Jr.,Psychic,Fairy,20,25,45,60
Happiny,Normal,,100,5,5,30
Chatot,Normal,Flying,76,65,45,91
Spiritomb,Ghost,Dark,50,92,108,35
Gible,Dragon,Ground,58,70,45,42
Gabite,Dragon,Ground,68,90,65,82
Garchomp,Dragon,Ground,108,130,95,102
GarchompMega Garchomp,Dragon,Ground,108,170,115,92
Munchlax,Normal,,135,85,40,5
Riolu,Fighting,,40,70,40,60
Lucario,Fighting,Steel,70,110,70,90
LucarioMega Lucario,Fighting,Steel,70,145,88,112
Hippopotas,Ground,,68,72,78,32
Hippowdon,Ground,,108,112,118,47
Skorupi,Poison,Bug,40,50,90,65
Drapion,Poison,Dark,70,90,110,95
Croagunk,Poison,Fighting,48,61,40,50
Toxicroak,Poison,Fighting,83,106,65,85
Carnivine,Grass,,74,100,72,46
Finneon,Water,,49,49,56,66
Lumineon,Water,,69,69,76,91
Mantyke,Water,Flying,45,20,50,50
Snover,Grass,Ice,60,62,50,40
Abomasnow,Grass,Ice,90,92,75,60
AbomasnowMega Abomasnow,Grass,Ice,90,132,105,30
Weavile,Dark,Ice,70,120,65,125
Magnezone,Electric,Steel,70,70,115,60
Lickilicky,Normal,,110,85,95,50
Rhyperior,Ground,Rock,115,140,130,40
Tangrowth,Grass,,100,100,125,50
Electivire,Electric,,75,123,67,95
Magmortar,Fire,,75,95,67,83
Togekiss,Fairy,Flying,85,50,95,80
Yanmega,Bug,Flying,86,76,86,95
Leafeon,Grass,,65,110,130,95
Glaceon,Ice,,65,60,110,65
Gliscor,Ground,Flying,75,95,125,95
Mamoswine,Ice,Ground,110,130,80,80
Porygon-Z,Normal,,85,80,70,90
Gallade,Psychic,Fighting,68,125,65,80
GalladeMega Gallade,Psychic,Fighting,68,165,95,110
Probopass,Rock,Steel,60,55,145,40
Dusknoir,Ghost,,45,100,135,45
Froslass,Ice,Ghost,70,80,70,110
Rotom,Electric,Ghost,50,50,77,91
RotomHeat Rotom,Electric,Fire,50,65,107,86
RotomWash Rotom,Electric,Water,50,65,107,86
RotomFrost Rotom,Electric,Ice,50,65,107,86
RotomFan Rotom,Electric,Flying,50,65,107,86
RotomMow Rotom,Electric,Grass,50,65,107,86
Uxie,Psychic,,75,75,130,95
Mesprit,Psychic,,80,105,105,80
Azelf,Psychic,,75,125,70,115
Dialga,Steel,Dragon,100,120,120,90
Palkia,Water,Dragon,90,120,100,100
Heatran,Fire,Steel,91,90,106,77
Regigigas,Normal,,110,160,110,100
GiratinaAltered Forme,Ghost,Dragon,150,100,120,90
GiratinaOrigin Forme,Ghost,Dragon,150,120,100,90
Cresselia,Psychic,,120,70,120,85
Phione,Water,,80,80,80,80
Manaphy,Water,,100,100,100,100
Darkrai,Dark,,70,90,90,125
ShayminLand Forme,Grass,,100,100,100,100
ShayminSky Forme,Grass,Flying,100,103,75,127
Arceus,Normal,,120,120,120,120
Victini,Psychic,Fire,100,100,100,100
Snivy,Grass,,45,45,55,63
Servine,Grass,,60,60,75,83
Serperior,Grass,,75,75,95,113
Tepig,Fire,,65,63,45,45
Pignite,Fire,Fighting,90,93,55,55
Emboar,Fire,Fighting,110,123,65,65
Oshawott,Water,,55,55,45,45
Dewott,Water,,75,75,60,60
Samurott,Water,,95,100,85,70
Patrat,Normal,,45,55,39,42
Watchog,Normal,,60,85,69,77
Lillipup,Normal,,45,60,45,55
Herdier,Normal,,65,80,65,60
Stoutland,Normal,,85,110,90,80
Purrloin,Dark,,41,50,37,66
Liepard,Dark,,64,88,50,106
Pansage,Grass,,50,53,48,64
Simisage,Grass,,75,98,63,101
Pansear,Fire,,50,53,48,64
Simisear,Fire,,75,98,63,101
Panpour,Water,,50,53,48,64
Simipour,Water,,75,98,63,101
Munna,Psychic,,76,25,45,24
Musharna,Psychic,,116,55,85,29
Pidove,Normal,Flying,50,55,50,43
Tranquill,Normal,Flying,62,77,62,65
Unfezant,Normal,Flying,80,115,80,93
Blitzle,Electric,,45,60,32,76
Zebstrika,Electric,,75,100,63,116
Roggenrola,Rock,,55,75,85,15
Boldore,Rock,,70,105,105,20
Gigalith,Rock,,85,135,130,25
Woobat,Psychic,Flying,55,45,43,72
Swoobat,Psychic,Flying,67,57,55,114
Drilbur,Ground,,60,85,40,68
Excadrill,Ground,Steel,110,135,60,88
Audino,Normal,,103,60,86,50
AudinoMega Audino,Normal,Fairy,103,60,126,50
Timburr,Fighting,,75,80,55,35
Gurdurr,Fighting,,85,105,85,40
Conkeldurr,Fighting,,105,140,95,45
Tympole,Water,,50,50,40,64
Palpitoad,Water,Ground,75,65,55,69
Seismitoad,Water,Ground,105,95,75,74
Throh,Fighting,,120,100,85,45
Sawk,Fighting,,75,125,75,85
Sewaddle,Bug,Grass,45,53,70,42
Swadloon,Bug,Grass,55,63,90,42
Leavanny,Bug,Grass,75,103,80,92
Venipede,Bug,Poison,30,45,59,57
Whirlipede,Bug,Poison,40,55,99,47
Scolipede,Bug,Poison,60,100,89,112
Cottonee,Grass,Fairy,40,27,60,66
Whimsicott,Grass,Fairy,60,67,85,116
Petilil,Grass,,45,35,50,30
Lilligant,Grass,,70,60,75,90
Basculin,Water,,70,92,65,98
Sandile,Ground,Dark,50,72,35,65
Krokorok,Ground,Dark,60,82,45,74
Krookodile,Ground,Dark,95,117,80,92
Darumaka,Fire,,70,90,45,50
DarmanitanStandard Mode,Fire,,105,140,55,95
DarmanitanZen Mode,Fire,Psychic,105,30,105,55
Maractus,Grass,,75,86,67,60
Dwebble,Bug,Rock,50,65,85,55
Crustle,Bug,Rock,70,95,125,45
Scraggy,Dark,Fighting,50,75,70,48
Scrafty,Dark,Fighting,65,90,115,58
Sigilyph,Psychic,Flying,72,58,80,97
Yamask,Ghost,,38,30,85,30
Cofagrigus,Ghost,,58,50,145,30
Tirtouga,Water,Rock,54,78,103,22
Carracosta,Water,Rock,74,108,133,32
Archen,Rock,Flying,55,112,45,70
Archeops,Rock,Flying,75,140,65,110
Trubbish,Poison,,50,50,62,65
Garbodor,Poison,,80,95,82,75
Zorua,Dark,,40,65,40,65
Zoroark,Dark,,60,105,60,105
Minccino,Normal,,55,50,40,75
Cinccino,Normal,,75,95,60,115
Gothita,Psychic,,45,30,50,45
Gothorita,Psychic,,60,45,70,55
Gothitelle,Psychic,,70,55,95,65
Solosis,Psychic,,45,30,40,20
Duosion,Psychic,,65,40,50,30
Reuniclus,Psychic,,110,65,75,30
Ducklett,Water,Flying,62,44,50,55
Swanna,Water,Flying,75,87,63,98
Vanillite,Ice,,36,50,50,44
Vanillish,Ice,,51,65,65,59
Vanilluxe,Ice,,71,95,85,79
Deerling,Normal,Grass,60,60,50,75
Sawsbuck,Normal,Grass,80,100,70,95
Emolga,Electric,Flying,55,75,60,103
Karrablast,Bug,,50,75,45,60
Escavalier,Bug,Steel,70,135,105,20
Foongus,Grass,Poison,69,55,45,15
Amoonguss,Grass,Poison,114,85,70,30
Frillish,Water,Ghost,55,40,50,40
Jellicent,Water,Ghost,100,60,70,60
Alomomola,Water,,165,75,80,65
Joltik,Bug,Electric,50,47,50,65
Galvantula,Bug,Electric,70,77,60,108
Ferroseed,Grass,Steel,44,50,91,10
Ferrothorn,Grass,Steel,74,94,131,20
Klink,Steel,,40,55,70,30
Klang,Steel,,60,80,95,50
Klinklang,Steel,,60,100,115,90
Tynamo,Electric,,35,55,40,60
Eelektrik,Electric,,65,85,70,40
Eelektross,Electric,,85,115,80,50
